UnitID,in-state-tuitition-2018
157401,8820
119270,24030
171304,9190
204264,27646
451477,
434432,16750
119331,1142
127653,31790
199087,2632
183141,7328
221184,4065
193478,5632
248882,15000
440758,15000
451875,15000
477996,15000
436483,15000
440767,15000
478005,15000
466161,15000
127680,15000
466189,15000
440749,6075
491093,15000
482325,15000
485281,15000
247700,15000
482370,15000
466170,15000
482316,15000
478014,15000
442718,15000
219204,15000
482334,15000
482343,15000
174385,15000
219213,15000
466152,15000
491109,15000
451884,15000
482361,15000
448585,15000
455868,
371964,
388043,14886
147536,10440
461023,7995
106980,3780
447759,
119605,13016
129729,4316
187596,4070
227146,3870
127714,11760
193584,33549
181376,16830
181765,5062
181419,4080
181297,15980
181446,32894
155566,4692
163532,11900
214272,30050
445692,24750
414939,
441900,5131
214290,
262129,6916
182980,36954
164438,12040
230977,
217305,28656
430810,26880
208725,14830
185129,11761
185828,16898
187897,5954
187967,7183
187903,1776
187912,4318
187994,2424
188003,2068
187620,2088
188021,2280
188030,6461
447582,3966
232867,4585
440262,
418126,14226
421841,33242
461148,28260
194091,35870
194116,23590
193900,50464
218414,25900
167251,34470
155335,29200
119775,26463
183099,7424
193946,4698
193973,31950
159966,7886
167260,34000
239442,4877
444787,
460464,1420
232937,9036
174428,5790
461795,9900
107460,2808
199102,6526
199157,6399
199193,9058
199209,29900
147660,37749
418889,
155593,6019
171395,6202
179715,5310
204422,3591
224110,3600
174437,23480
194028,5614
200305,4880
200332,8666
136145,3054
140678,2734
218441,19150
174376,4420
142443,4728
154059,5213
227191,3330
147679,28620
236072,4302
167312,4944
120078,
214379,9240
239460,3497
101897,4440
182917,24000
181491,3405
154110,5180
488730,7170
176169,3232
221908,4152
227225,4589
239488,4415
147776,10736
127732,4941
207290,4448
207263,6327
217837,4296
167358,49497
105330,11059
167376,4992
147703,14350
157447,9744
161484,3681
171456,10240
188058,4765
207281,3865
219259,8280
232946,5498
239512,35157
174473,5549
105349,1808
217606,12054
160667,4103
367459,4663
445948,
209409,28680
240657,3386
377546,19075
136233,3133
380377,4437
154129,5910
155618,
160010,2976
176178,3000
178624,7657
142461,29000
458140,14450
204440,3858
488086,
173115,5480
236133,30320
487603,16380
420398,7170
101736,4411
154101,30200
147749,17475
260992,17475
130040,4306
174507,10684
171483,7463
207306,7066
160038,7922
147767,52678
171492,26080
130004,4336
230995,38662
368452,17800
204468,29300
120184,34196
163578,36070
136215,29930
200086,3870
158884,4175
194161,25350
221254,29880
174525,17314
152099,23700
171535,4376
171571,11970
147800,10446
101912,16720
204501,53460
120254,52838
185873,5095
420431,2674
227304,3834
366465,2872
219277,2684
140696,36680
203739,9000
203720,9000
201964,20240
204617,31080
204635,30990
204662,7203
204671,7140
204796,10592
204680,7140
204699,7140
204705,7140
204608,
453817,
204820,5060
204802,4806
204848,5060
204857,11896
204839,4806
204866,5060
204884,12729
237640,21250
204909,44690
120290,1162
194189,11250
207403,26840
207324,21670
207449,3909
207458,30726
207351,6196
207564,5250
207388,8738
207397,3836
206835,26090
232982,10050
171599,26695
147828,34940
145707,9743
236188,3693
407328,13850
194222,5154
207582,26792
120342,1186
194240,5398
218487,5234
423652,4140
209533,33200
209506,9982
209542,10967
440828,9774
454883,13680
214528,
127778,3856
120403,45620
155627,28550
204936,31874
107512,25870
227331,28192
204945,4682
247940,4080
120421,1388
178679,12720
107549,2932
177472,4164
194310,43986
407610,3650
422695,
442842,10182
414595,11592
378576,9233
236230,40722
209603,36440
457484,10460
